Method,Test_Brier_Uncalibrated,Test_Brier_Calibrated,Brier_Improvement
sigmoid,0.0026169166008936052,0.004739094699013617,-0.002122178098120012
isotonic,0.0026169166008936052,9.558599633548936e-05,0.002521330604558116
