Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,F1_Weighted
Proposed Ensemble (Soft-Voting (RF+XGB)),1,0.9846153846153847,0.991869918699187,0.9878048780487805,0.9869918699186992,0.9835897435897435
Proposed Ensemble (Soft-Voting (RF+XGB)),2,0.9846153846153847,0.9634146341463414,0.975609756097561,0.9674796747967479,0.9794871794871794
Proposed Ensemble (Soft-Voting (RF+XGB)),3,1.0,1.0,1.0,1.0,1.0
Proposed Ensemble (Soft-Voting (RF+XGB)),4,0.984375,0.9878048780487805,0.9878048780487805,0.9837398373983739,0.984375
