Method,Test_Brier_Uncalibrated,Test_Brier_Calibrated,Brier_Improvement
sigmoid,0.0025390842011498824,0.0046891371102003665,-0.002150052909050484
isotonic,0.0025390842011498824,0.00010340198547838381,0.0024356822156714987
