method,initial_symptoms,samples_evaluated,avg_questions_needed,std_questions_needed,avg_confidence_improvement,successful_prediction_rate,final_accuracy,accuracy_improvement_rate
MI,1,45,1.4222222222222223,1.2734710028350582,0.3402208945348979,0.9782608695652174,1.0,1.0
MI,2,34,0.9117647058823529,0.7809363557265737,0.27636430792047323,0.7391304347826086,1.0,1.0
MI,3,42,0.4523809523809524,0.497727260961116,0.18810915419864402,0.9130434782608695,1.0,1.0
MI,5,32,0.59375,1.19528696868158,0.11605683353500276,0.6956521739130435,0.96875,0.7777777777777778
Random,1,21,1.9047619047619047,1.715607955681126,0.25615816465826025,0.45652173913043476,1.0,1.0
Random,2,25,1.28,1.4565713164826497,0.13841317252887428,0.5434782608695652,1.0,1.0
Random,3,27,0.4444444444444444,1.2272623352430287,0.05763663231324828,0.5869565217391305,1.0,1.0
Random,5,26,0.46153846153846156,1.184215716795435,0.03851381305525511,0.5652173913043478,0.9615384615384616,0.7142857142857143
